Date,Time (24h),Humidity(%),Weather,Temperature (C) ,Location,,,,
08-02-23,10,63.43,Sunny,28.7,"6.867818, 79.967501",,,,
14-08-23,9,71.67,Windy,28.9,"6.867818, 79.967296",,,,
17-08-23,11,58.92,Sunny,28,"6.867818, 79.967501",,,,
08-09-23,10,65.28,Sunny,30.5,"6.867690, 79.967585",,,,
13-08-23,11,65.16,Windy,30.6,"6.867451, 79.967261",,,,
17-08-23,10,62.82,Sunny,28.1,"6.867818, 79.967501",,,,
08-04-23,17,82.61,Sunny,30.1,"6.867690, 79.967585",,,,
19-08-23,10,63,Cloudy,30.5,"6.867690, 79.967585",,,,
21-08-23,17,78.22,Sunny,31.2,"6.867690, 79.967585",,,,
08-07-23,16,74.23,Sunny,29,"6.867818, 79.967501",,,,
28-08-23,11,70.24,Rainy,31.1,"6.867818, 79.967296",,,,
08-02-23,11,59.38,Sunny,29,"6.867818, 79.967501",,,,
08-11-23,18,81.41,Cloudy,27.8,"6.867818, 79.967501",,,,
20-08-23,10,62.17,Sunny,30.9,"6.867818, 79.967296",,,,
14-08-23,9,70.53,Windy,28.5,"6.867818, 79.967296",,,,
